sibling#n. 兄弟或姊妹
guzzle#v. 狂饮；暴食；大量消耗
sting#n. 螫刺
odium#n. 憎恶，厌恶，不满
fake#v. 伪造；佯装
drawl#v.&n. 慢吞吞地说话（态度）
paranoia#n. 偏执狂；疑惧；多疑
voracious#adj. 渴求的，贪婪的
elicit#v. 引出，探出
even#adj. 平坦的；相等的
martial#adj. 战争的，军事的
hegemony#n. 霸权；领导权
press#v. 坚持；强调；困扰；硬给
instrumentalist#n. 乐器演奏者
pragmatic#adj. 实际的，实用主义的
gobble#v. 贪婪地吃；狼吞虎咽
parallelism#n. 平行，类似
waggish#adj. 诙谐的，滑稽的
cogitate#v. 慎重思考，思索
lexical#adj. 词汇的；词典的
cite#v. 引用，引述
foreword#n. 前言，序
repudiate#v. 拒绝，抛弃
diatribe#n. 抨击
stowaway#n. （藏于轮船、飞机中的）偷乘者
inanimate#adj. 无生命的
pied#adj. 杂色的
alluring#adj. 吸引人的，迷人的
superfluity#n. 多余；过剩；冗余
recombine#v. 重组，再结合
nip#v. 小口啜饮
impenitent#adj. 不悔悟的
abbreviate#v. 缩短；缩写
sinuous#adj. 蜿蜒的，弯曲的
tacit#adj. ；默许的；不言而喻的
frothy#adj. 起泡的；空洞的
lounge#n. 休息室
nonporous#adj. 无孔的；不渗透的
dimension#n. 维度，尺寸，大小
embroider#v. 刺绣，装饰
aggrieve#v. 使受委屈；使痛苦；使受伤害
leisureliness#n. 悠然，从容
evasive#adj. 回避的，逃避的
lure#v. 引诱；诱惑
illegitimate#adj. 不合法的；私生的，非婚生的
ethos#n. （个人、团体或民族）道德风貌，思潮，气质
expel#v. 排出；开除
limited#adj. 有限的；（公司）有限责任的
smug#adj. 自满的，自命不凡的
facsimile#n. 复制本，摹本
plague#v. 困扰；使烦恼；纠缠
shoulder#n. 肩；路肩
pigment#n. 天然色素；干粉颜料
firearm#n. （便携式）枪支
greenhorn#n. 新手；傻瓜
vintner#n. 酒商；葡萄酒酿制者
vendor#n. 小贩
nihilism#n. 虚无主义
resume#v. 重新开始，继续
conglomerate#v. 集聚成团
sonorous#adj. （声音）洪亮的
latent#adj. 潜伏的，潜在的
laud#v. 称赞；颂扬
demur#v. 表示异议，反对
obloquy#n. 辱骂；遭指责，遭诽谤
reedy#adj. 长满芦苇的；（声音）高而尖的
bit#n. 钻头
lever#v. 撬动
aboveboard#adj.&adv. 光明正大的（地）
cosy#adj. 温暖而舒适的
deficit#n. 差额；赤字
homily#n. 说教，训诫
frieze#n. （在墙顶与天花板间起装饰作用的）横条，饰带
chant#v. 歌唱或背诵
neonate#n. 初生儿
renegade#n. 叛教者，叛徒
inscription#n. 铭文，碑文；题词
orchestra#n. 管弦乐队
quixotic#adj. 不切实际的，空想的
sever#v. 切断，脱离
stem#v. 阻止，遏制（水流等）
substratum#n. 基础；地基
pretend#v. 假装；装扮
sack#v. 掠夺
evanescent#adj. 迅速消失的，短暂的
atheism#n. 无神论，不信神
propeller#n. 螺旋桨，推进器
deportation#n. 驱逐出境
oversee#v. 监督；监视；监管
bigot#n. （宗教、政治等的）盲信者；心胸狭窄者
epitomize#v. 概括，摘要；作为…的缩影
conflate#v. 合并
torrent#n. 洪流，急流
cytology#n. [生]细胞学
toxic#adj. 有毒的，毒性的
caveat#n. 警告，告诫
